state,region,bird_common_name,bird_local_name,bird_scientific_name,conservation_status,habitat,symbolism,story_role_in_hulmane-the-saga,hero_id
Andhra Pradesh,south,Indian Roller,Palapitta,Coracias benghalensis,Least Concern,Open country farmland gardens,Divine messenger — transformation — flash of colour in still air — Shiva's bird (Neelakantha),Appears before river floods — omen of change coming — warns when river spirit is disturbed,andhra-pradesh
Telangana,south,Indian Roller,Palapitta,Coracias benghalensis,Least Concern,Open country farmland,Divine messenger — transformation — the watcher who sees all sides,Always watching before battle — circles once before a threat materialises — seen only by Chittaranga,telangana
Tamil Nadu,south,Emerald Dove,Maragatha Puraa,Chalcophaps indica,Least Concern,Dense forest understorey,The dove that lives only in deep unbroken forest — beauty that exists only where humans haven't destroyed,Appears at the moment when the mountain is about to give something important — she follows it to the right rock ledge,tamil-nadu
Kerala,south,Malabar Pied Hornbill / Great Hornbill,Vezhambal,Buceros bicornis,Vulnerable,Old-growth forest,Sacred — appears on temple eaves — the bird that takes years to raise its young — patience that produces greatness,Appears when a long-kept promise is about to be tested — circles the arena before any great trial,kerala
Karnataka,south,Indian Roller,Neelakantha,Coracias benghalensis,Least Concern,Open country gardens,Divine messenger — Shiva's blue-throated bird — appears when something sacred needs protecting,Always circles the entrance to the underground temple — only bird that knows where the tunnel opens,karnataka
Maharashtra,west,Yellow-footed Green Pigeon,Hariyal,Treron phoenicoptera,Least Concern,Forest edges orchards,Forest pigeon the colour of a lime — camouflage in plain sight — present but unseen,Perches at highest point of any fort Shivagati will visit — leaves one green feather before danger,maharashtra
Gujarat,west,Greater Flamingo,Hanjh,Phoenicopterus roseus,Least Concern,Saline lakes and lagoons,Mass beauty that is also mass vulnerability — a thousand flamingos magnificent and endangered all at once,Appears only near the Rann at dusk — when Simhavikrama is about to make a decision he cannot take back,gujarat
Goa,west,Black-crested Bulbul / Ruby-throated Yellow Bulbul,Kalya Bulbul,Pycnonotus flaviventris,Least Concern,Forest edges gardens,The forest bird that sings at the sea's edge — the voice between worlds — land and ocean in one bird,Always singing before a sea storm — its silence means the sea is about to turn,goa
Rajasthan,west,Great Indian Bustard,Godawan,Ardeotis nigriceps,Critically Endangered,Arid and semi-arid grassland,Critically endangered — spectacular and impossible to see — protection through invisibility,Appears only when someone in the desert has found the real Mrigatrishna — the bustard confirms what is authentic,rajasthan
West Bengal,east,White-throated Kingfisher,Mashrak,Halcyon smyrnensis,Least Concern,Mangroves waterways,The bird that plunges straight into water without hesitation — certainty in the dive — no second-guessing,Always present at tidal channel before Sundarvani must make a decision she cannot take back,west-bengal
Odisha,east,Indian Roller,Neelakantha,Coracias benghalensis,Least Concern,Open country farmland,Divine messenger — sacred bird — appears when the Wheel of Dharma is about to turn,Circles Konark temple three times before Jagannathi's twins show anomalous tattoo signs — the warning she missed,odisha
Bihar,east,House Sparrow,Goreiya,Passer domesticus,Least Concern,Human settlements,The common bird that survives everywhere — utterly indestructible — stays when all beautiful birds flee,Always present near his family — never dramatic — just there — like his gentleness outside of battle,bihar
Jharkhand,east,Asian Koel,Koel,Eudynamys scolopaceus,Least Concern,Woodlands gardens,The bird that calls dawn before dawn — the cry that tells the forest something is changing before humans can see it,Calls three times before Vanajara's uncle moves against him — the only early warning,jharkhand
Uttar Pradesh,north,Sarus Crane,Saarus,Antigone antigone,Vulnerable,Wetlands open farmland,The tallest flying bird — mates for life — cranes for each other even in death — the bird that grieves,Always standing at river's edge watching — appears when Gangaputra is about to receive knowledge that will cost him something,uttar-pradesh
Uttarakhand,north,Himalayan Monal / Impeyan Pheasant,Danphe,Lophophorus impejanus,Least Concern,High-altitude Himalayan forest,Rainbow bird of the Himalayas — every colour in a single wing — signal that pierces snowstorm — impossible beauty,Only visible to Kasturika in a snowstorm — the colours show the safe path when everything is white — also a compass,uttarakhand
Himachal Pradesh,north,Western Tragopan,Jujurana,Tragopan melanocephalus,Vulnerable,High-altitude Himalayan forest,Rarest pheasant in India — blood-red chest bird of impossible beauty — found only in highest undisturbed forest,Appears only when Himavati is near someone who does not know they are being observed — the Tragopan sees what the leopard cannot,himachal-pradesh
Punjab,north,Shikra / Northern Goshawk,Shikra,Accipiter badius,Least Concern,Open woodland edges,The hunter's hawk — controlled speed — the bird that strikes exactly where aimed and never misses — precision over power,Always perched on his left shoulder before battle — flies first to indicate weakest enemy position — never been wrong,punjab
Haryana,north,Black Francolin / Black Partridge,Kala Teetar,Francolinus francolinus,Least Concern,Grassland scrub farmland,The bird of the plains — calls before dawn over the battlefield — the bird whose cry was heard on the day the Mahabharata war began and the day it ended,Always calling before any fight on this land — the bird that was here before the war and will be here after,haryana
Assam,northeast,White-winged Wood Duck,Deohanh,Asarcornis scutulata,Endangered,Tropical forest pools,Critically rare — sacred to Assamese tradition — found only in deepest uncut forest,Appears only in the morning mist before Kamalavarna makes a choice that will define her kingdom — she waits for it,assam
Arunachal Pradesh,northeast,Great Hornbill,Hornbill,Buceros bicornis,Vulnerable,Old-growth forest,The casqued bird of the dawn forest — the bird with the golden crown — omen of decisive events,Always flying west when Udayagiri must move east — flying toward the problem before he arrives — his advance scout without being trained,arunachal-pradesh
Manipur,northeast,Mrs. Hume's Pheasant / Nongin,Nongin,Syrmaticus humiae,Near Threatened,Steep forested hillsides,The pheasant that is itself a dancer — the tail that sweeps — the male's display as performance — knows difference between display and battle,Always performing before the battle begins — Nongin displays before Moirangthem dances — together they are the signal that something serious is about to happen,manipur
Meghalaya,northeast,Hill Myna,Uma,Gracula religiosa,Least Concern,Tropical forest,The bird that speaks human words — the intelligence of the forest that understands human speech — bridge between animal and human communication,Speaks a single warning phrase before Meghanadi's daughter tries to leave — the Myna has been listening for years,meghalaya
Mizoram,northeast,Mrs. Hume's Pheasant / Vawkawk,Vawkawk,Syrmaticus humiae,Near Threatened,Steep forested hillsides,The long-tailed pheasant of the Mizo hills — always watching from bamboo — patient and nearly invisible in its own forest,Always watching from the bamboo edge before Tlangvala gives away something he cannot afford to lose — the bird that wants him to say no — he never listens,mizoram
Nagaland,northeast,Blyth's Tragopan,Blyth's Tragopan,Tragopan blythii,Vulnerable,Dense subtropical forest,The endangered pheasant of the Naga hills — male with blue-green wattle — rare presence means valley is still healthy,Appears at the entrance of the Dzukou Valley before Dzulevira must defend it — the Tragopan is the valley's own alarm,nagaland
Sikkim,northeast,Blood Pheasant,Semmeto,Ithaginis cruentus,Least Concern,High-altitude coniferous forest,The mountain bird of blood — scarlet wings in snow — the most striking contrast in the Himalayas — beauty that is also warning,Appears on the morning of a battle Kanchenjunga cannot avoid — its red wings in the snow are his signal to engage,sikkim
Tripura,northeast,Green Imperial Pigeon,Haru,Ducula aenea,Least Concern,Forest canopy,The large fruit-eating pigeon that lives in the forest canopy — patient omnivorous builder of community — tends what it finds,Always perched on the bridge his father designed — the one that collapsed — waiting for Tripurari to find the sabotage evidence,tripura
Madhya Pradesh,central,Indian Paradise Flycatcher,Dudhraj / Shah Bulbul,Terpsiphone paradisi,Least Concern,Forest and gardens,The bird with two impossibly long tail feathers — excess beauty beyond function — the unexpected in the centre,Appears at dawn when a decision that has been delayed too long can no longer wait — the flycatcher is the sunrise alarm,madhya-pradesh
Chhattisgarh,central,Hill Myna / Pahari Myna,Pahari Myna,Gracula religiosa,Least Concern,Tropical hill forest,The bird that speaks human words — the intelligence of the forest that understands humans without being human — speaks a single warning phrase before Dandakarni enters an unwinnable situation — she has learned to listen but usually doesn't,Speaks one warning before each crisis — Dandakarni usually doesn't listen — after the third time she started listening,chhattisgarh
