form_id,form_name,sanskrit_name,domain,quality,symbol_or_weapon,visual_signature,story_role,character_archetype,notes
1,Lord of Dance,Nataraja,Cosmic creation and destruction,The dance of existence — creation and destruction as the same act,Damaru (drum) + Agni (fire),Standing on demon Apasmara — dancing within a ring of fire,The one who creates by destroying — transformation through total loss,The hero at the moment of their greatest sacrifice,For the final act of a story — the moment everything changes
2,Great Time,Mahakala,Time and death,Time that devours all — even the gods — yet remains beyond time,Trident + skull cup,Dark blue/black — standing in cremation grounds,The force that makes all things temporary — and therefore precious,The villain who understands impermanence better than the hero,Villains who believe they are accelerating inevitable end
3,Fierce Bhairava,Bhairava,Ferocious justice,Righteous terrifying anger — the consequence of real transgression,Trishula + severed head,Blood-red — wild hair — hunting dogs as companions,The punishment that arrives when all warnings have been ignored,The hero in their most terrifying righteous anger,For moment when hero stops holding back
4,Half Male Half Female,Ardhanarishvara,Union of opposites,Unity of Shiva and Shakti — no power without its complement,Trident (Shiva side) + Lotus (Shakti side),Literally half male half female — split body,The truth that every hero contains both their power and its shadow,Heroes who discover their strength by accepting their vulnerability,For character growth arcs — the hero becoming whole
5,Teacher,Dakshinamurti,Knowledge and teaching,Guru who teaches through silence — knowledge transmitted without words,Jnana mudra (hand gesture) + Vedas,Young-faced but ancient — seated under banyan tree — four arms,The guru who teaches more by what they don't say,The mentor figure who makes the hero find their own answer,Model for the guru characters in Hulmane-The-Saga
6,Lord of Animals,Pashupati,Wild nature and its creatures,Sovereign of all living things — the power that cannot be domesticated,Trident + animals surrounding,Proto-Shiva seal — surrounded by animals in meditation,The one the wild things obey — the power before civilization,Heroes with deep animal bonds — especially forest states,Jharkhand and Chhattisgarh heroes most connected
7,Bearer of the Ganga,Gangadhara,Water and cosmic rivers,The one strong enough to receive the full force of the Ganga — breaking its fall,Matted hair that holds the river,Ganga flowing from the matted hair,The one who absorbs what would destroy others — protection through reception,Heroes who bear impossible burdens for their people,Uttar Pradesh hero most connected
8,Destroyer of Three Cities,Tripurari,Destruction of illusion,Destroying the three demon cities — the illusion that has become too powerful,Single arrow from a cosmic bow,Arrow of dharmic fire — mountains as bow — Shiva seated on a lotus,The moment the false world is burned away and reality is revealed,Tripura hero (Tripurari) is directly named. Also the climax archetype.,The villain who built an illusion-fortress will always face this moment
9,Mountain Lord,Kedarnath,Sacred mountains and devotion,The ascetic power of mountains — silence that speaks louder than action,Trident — surrounded by snow and ice,Seated in deep snow at the peak — eternally unmoved,The unchanging centre while everything around spins,Uttarakhand and Himachal Pradesh heroes most connected,The guru in mountain kingdoms often reflects this form
10,Conqueror of Death,Mrityunjaya,Healing and immortality,The power over death itself — the sacred syllables that hold death at bay,Three-eyed gaze + crescent moon,Moon on the forehead — third eye — garland of snakes,The one who faces death not by avoiding it but by understanding it,Heroes who survive the unsurvivable — who come back changed,For resurrection/rebirth story beats
11,Blue-Throated,Nilakantha,Sacrifice for cosmic good,Drinking the poison that would destroy the world — absorbing darkness to protect others,The blue throat — visible sign of the sacrifice,Blue/purple throat — otherwise white — divine and human simultaneously,The leader who takes the poison so others don't have to,Heroes who take on the consequences of others' choices,Karnataka and Kerala heroes reflect this quality
12,Storm God,Rudra,Wild storms and healing,The storm that destroys and heals — you cannot have the rain without the lightning,Bow (Pinaka) + arrows of lightning,Wild hair flying — storm clouds — animals fleeing and following,The force that is neither good nor evil — simply power seeking its own level,Villains who are elemental forces rather than personal antagonists,For the Void Maw itself — Rudra as cosmic storm
