avatar_number,avatar_name,sanskrit_name,form,era,quality,weapon_or_symbol,story_role,character_archetype,notes
1,Fish,Matsya,Giant fish,Satya Yuga,Saving sacred knowledge from flood / navigating chaos,None — body is the weapon,Rescuer from the deep; preserver of wisdom,The guide who carries what must not be lost,Appears in stories of hidden knowledge and underwater secrets
2,Tortoise,Kurma,Half-tortoise half-man,Satya Yuga,Patient foundation; bearing the weight of worlds; endurance without complaint,Mount Mandara (churning rod),The silent support — holds the cosmos while others act,The one who bears the unbearable quietly,For heroes who are the foundation that nobody notices
3,Boar,Varaha,Cosmic boar,Satya Yuga,Rescuing the earth from darkness; diving into the abyss to retrieve what was lost,Tusks that lift the earth,The one who plunges into the dark to save what is sacred,The protector who descends rather than soars,For stories where the hero must enter the villain's world to win
4,Man-Lion,Narasimha,Half-man half-lion,Satya Yuga,Unstoppable righteous fury; protection of the devoted; destroying what seems indestructible,Claws — no weapon needed,The rage that breaks all limits when dharma is threatened,The protector who becomes terrifying to protect,Gujarat hero (Simhavikrama) is most directly connected
5,Dwarf,Vamana,Small brahmin boy who becomes cosmic giant,Treta Yuga,Humility hiding infinite power; claiming what is rightfully dharmic through cleverness not force,Wooden umbrella / three strides,The one who appears weak but encompasses everything,The hero who is underestimated and then reveals cosmic scale,For heroes who are overlooked but carry world-changing power
6,Rama-with-Axe,Parashurama,Sage-warrior with axe,Treta Yuga,Warrior-sage; righteous anger against corrupt power; the axe that clears before the city can be built,Parashu (axe),The destroyer of corrupt old order so new dharma can grow,The warrior who never smiles — duty above all else,Kerala hero (Parashurama) directly named after this avatar
7,Rama,Rama,Ideal king / devoted husband / exile-warrior,Treta Yuga,Dharma as personal cost; leadership through sacrifice; faithfulness to vow above personal happiness,Kodanda (bow) + Brahmastra,The king who suffers for his people's sake,The hero whose greatest strength is also their tragedy,For heroes who must choose duty over desire
8,Krishna,Krishna,Divine cowherd / charioteer / king,Dvapara Yuga,Divine love + cosmic wisdom; the one who guides without fighting; truth told in paradox,Sudarshana Chakra + Kaumodaki mace + flute,The guide who reveals the infinite in the ordinary,The hero who is always one step beyond — never fully grasped,Most referenced avatar in MahaHulmane — Manipur and UP heroes connect here
9,Buddha,Buddha,Enlightened ascetic,Kali Yuga,Compassion over conquest; seeing through illusion; non-violence as the highest power,None — the teaching is the weapon,The one who transforms enemies by understanding them,The hero who wins without fighting — the stillness that is invincible,Sikkim hero (Kanchenjunga) most closely reflects this
10,Kalki,Kalki,White horse warrior with flaming sword,Future / End of Kali Yuga,The coming reckoning; time's arrow; the justice that arrives when all else has failed,Ratna (flaming sword) + white horse Devadatta,The future warrior who ends an age and begins the next,The hero who represents what must eventually come — inevitable dharmic justice,The Void Maw arc is the Kalki-equivalent moment for MahaHulmane as a whole
